currency_pair,price_precision,amount_precision,min_amount
ltc_btc,8,6,0.001
eth_btc,8,6,0.001
etc_btc,8,5,0.01
bch_btc,8,8,0.001
xrp_btc,8,3,1.0
xem_btc,8,3,1.0
xlm_btc,8,3,1.0
iota_btc,8,3,1.0
1st_btc,8,3,1.0
aac_btc,8,2,10.0
abt_btc,8,3,1.0
ace_btc,8,2,10.0
act_btc,8,3,1.0
aidoc_btc,8,2,10.0
amm_btc,8,3,1.0
ark_btc,8,4,0.1
ast_btc,8,3,1.0
atl_btc,8,3,1.0
auto_btc,8,1,10.0
avt_btc,8,3,1.0
bcd_btc,8,4,0.1
bcs_btc,8,8,0.001
bcx_btc,8,1,10.0
bec_btc,8,3,1.0
bkx_btc,8,3,1.0
bnt_btc,8,4,0.1
brd_btc,8,3,1.0
bt1_btc,8,8,0.001
bt2_btc,8,5,0.01
btg_btc,8,5,0.01
btm_btc,8,3,1.0
cag_btc,8,3,1.0
can_btc,8,2,10.0
cbt_btc,8,2,10.0
chat_btc,8,2,10.0
cic_btc,8,1,10.0
cmt_btc,8,2,10.0
ctr_btc,8,3,1.0
cvc_btc,8,3,1.0
dadi_btc,8,3,1.0
dash_btc,8,6,0.001
dat_btc,8,2,10.0
dent_btc,8,1,10.0
dgb_btc,8,2,10.0
dgd_btc,8,6,0.001
dna_btc,8,3,1.0
dnt_btc,8,2,10.0
dpy_btc,8,3,1.0
edo_btc,8,4,0.1
elf_btc,8,3,1.0
eng_btc,8,4,0.1
enj_btc,8,2,10.0
eos_btc,8,4,0.1
evx_btc,8,3,1.0
fair_btc,8,2,10.0
fun_btc,8,2,10.0
gas_btc,8,5,0.01
gnt_btc,8,3,1.0
gnx_btc,8,3,1.0
gsc_btc,8,2,10.0
gtc_btc,8,2,10.0
gto_btc,8,3,1.0
hmc_btc,8,2,10.0
hot_btc,8,2,10.0
hsr_btc,8,4,0.1
icn_btc,8,3,1.0
icx_btc,8,4,0.1
ins_btc,8,3,1.0
insur_btc,8,1,10.0
int_btc,8,2,10.0
iost_btc,8,2,0.1
ipc_btc,8,3,1.0
itc_btc,8,3,1.0
kcash_btc,8,2,10.0
key_btc,8,1,10.0
knc_btc,8,3,1.0
la_btc,8,3,1.0
lend_btc,8,2,10.0
lev_btc,8,2,10.0
light_btc,8,0,10.0
link_btc,8,3,1.0
lrc_btc,8,3,1.0
mag_btc,8,1,10.0
mana_btc,8,2,10.0
mco_btc,8,4,0.1
mda_btc,8,3,1.0
mdt_btc,8,2,10.0
mith_btc,8,3,1.0
mkr_btc,8,6,0.001
mof_btc,8,3,1.0
mot_btc,8,3,1.0
mth_btc,8,2,10.0
mtl_btc,8,4,0.1
nano_btc,8,4,0.1
nas_btc,8,4,0.1
neo_btc,8,5,0.01
ngc_btc,8,3,1.0
nuls_btc,8,4,0.1
oax_btc,8,3,1.0
of_btc,8,1,10.0
okb_btc,8,4,1.0
omg_btc,8,4,0.1
ont_btc,8,3,1.0
ost_btc,8,3,1.0
pay_btc,8,3,1.0
poe_btc,8,2,10.0
ppt_btc,8,5,0.01
pra_btc,8,3,1.0
pst_btc,8,3,1.0
qtum_btc,8,5,0.01
qun_btc,8,2,10.0
qvt_btc,8,3,1.0
r_btc,8,3,1.0
rcn_btc,8,2,10.0
rct_btc,8,2,10.0
rdn_btc,8,4,0.1
read_btc,8,2,10.0
ref_btc,8,5,0.01
ren_btc,8,2,10.0
req_btc,8,3,1.0
rfr_btc,8,1,10.0
rnt_btc,8,2,10.0
salt_btc,8,4,0.1
san_btc,8,3,1.0
sbtc_btc,8,4,0.1
show_btc,8,1,10.0
smt_btc,8,2,10.0
snc_btc,8,3,1.0
sngls_btc,8,2,10.0
snm_btc,8,2,10.0
snt_btc,8,2,10.0
soc_btc,8,2,10.0
spf_btc,8,3,1.0
ssc_btc,8,2,10.0
stc_btc,8,2,10.0
storj_btc,8,3,1.0
sub_btc,8,3,1.0
swftc_btc,8,1,10.0
tct_btc,8,2,10.0
theta_btc,8,2,10.0
tio_btc,8,3,1.0
tnb_btc,8,2,10.0
topc_btc,8,2,10.0
tra_btc,8,1,10.0
trio_btc,8,1,10.0
true_btc,8,3,1.0
trx_btc,8,2,10.0
ubtc_btc,8,4,0.1
uct_btc,8,2,10.0
ugc_btc,8,2,10.0
ukg_btc,8,3,1.0
utk_btc,8,2,10.0
vee_btc,8,2,10.0
vib_btc,8,3,1.0
viu_btc,8,1,10.0
wbtc_btc,8,2,10.0
wfee_btc,8,1,10.0
wrc_btc,8,2,10.0
wtc_btc,8,4,0.1
xmr_btc,8,6,0.001
xuc_btc,8,4,0.1
yee_btc,8,1,10.0
yoyo_btc,8,2,10.0
zec_btc,8,6,0.001
zen_btc,8,5,0.01
zip_btc,8,0,10.0
zrx_btc,8,3,1.0
btc_usdt,4,8,0.001
ltc_usdt,4,6,0.001
eth_usdt,4,6,0.001
etc_usdt,4,5,0.01
bch_usdt,4,8,0.001
xrp_usdt,4,3,1.0
xem_usdt,4,3,1.0
xlm_usdt,4,3,1.0
iota_usdt,4,3,1.0
1st_usdt,4,3,1.0
aac_usdt,4,2,10.0
abt_usdt,4,3,1.0
ace_usdt,4,2,10.0
act_usdt,4,3,1.0
aidoc_usdt,4,2,10.0
amm_usdt,4,3,1.0
ark_usdt,4,4,0.1
ast_usdt,4,3,1.0
atl_usdt,4,3,1.0
auto_usdt,4,1,10.0
avt_usdt,4,3,1.0
bcd_usdt,4,4,0.1
bec_usdt,4,3,1.0
bkx_usdt,4,3,1.0
bnt_usdt,4,4,0.1
brd_usdt,4,3,1.0
btg_usdt,4,5,0.01
btm_usdt,4,3,1.0
cag_usdt,4,3,1.0
can_usdt,4,2,10.0
cbt_usdt,4,2,10.0
chat_usdt,4,2,10.0
cic_usdt,4,1,10.0
cmt_usdt,4,2,10.0
ctr_usdt,4,3,1.0
cvc_usdt,4,3,1.0
dadi_usdt,4,3,1.0
dash_usdt,4,6,0.001
dat_usdt,4,2,10.0
dent_usdt,4,1,10.0
dgb_usdt,4,2,10.0
dgd_usdt,4,6,0.001
dna_usdt,4,3,1.0
dnt_usdt,4,2,10.0
dpy_usdt,4,3,1.0
edo_usdt,4,3,1.0
elf_usdt,4,3,1.0
eng_usdt,4,4,0.1
enj_usdt,4,2,10.0
eos_usdt,4,4,0.1
evx_usdt,4,3,1.0
fair_usdt,4,2,10.0
fun_usdt,4,2,10.0
gas_usdt,4,5,0.01
gnt_usdt,4,3,1.0
gnx_usdt,4,3,1.0
gsc_usdt,4,2,10.0
gtc_usdt,4,2,10.0
gto_usdt,4,3,1.0
hmc_usdt,4,2,10.0
hot_usdt,4,2,10.0
hsr_usdt,4,4,0.1
icn_usdt,4,3,1.0
icx_usdt,4,4,0.1
ins_usdt,4,4,0.1
insur_usdt,4,1,10.0
int_usdt,4,2,10.0
iost_usdt,4,2,10.0
ipc_usdt,4,3,1.0
itc_usdt,4,3,1.0
kcash_usdt,4,2,10.0
key_usdt,4,1,10.0
knc_usdt,4,3,1.0
la_usdt,4,3,1.0
lend_usdt,4,2,10.0
lev_usdt,4,2,10.0
light_usdt,4,0,10.0
link_usdt,4,3,1.0
lrc_usdt,4,3,1.0
mag_usdt,4,1,10.0
mana_usdt,4,2,10.0
mco_usdt,4,4,0.1
mda_usdt,4,3,1.0
mdt_usdt,4,2,10.0
mith_usdt,4,3,1.0
mkr_usdt,4,8,0.001
mof_usdt,4,3,1.0
mot_usdt,4,3,1.0
mth_usdt,4,2,10.0
mtl_usdt,4,4,0.1
nano_usdt,4,4,0.1
nas_usdt,4,4,0.1
neo_usdt,4,5,0.01
ngc_usdt,4,3,1.0
nuls_usdt,4,4,0.1
oax_usdt,4,3,1.0
of_usdt,4,1,10.0
okb_usdt,4,4,1.0
omg_usdt,4,4,0.1
ont_usdt,4,3,1.0
ost_usdt,4,3,1.0
pay_usdt,4,3,1.0
poe_usdt,4,2,10.0
ppt_usdt,4,5,0.01
pra_usdt,4,3,1.0
pst_usdt,4,3,1.0
qtum_usdt,4,5,0.01
qun_usdt,4,2,10.0
qvt_usdt,4,3,1.0
r_usdt,4,3,1.0
rcn_usdt,4,2,10.0
rct_usdt,4,2,10.0
rdn_usdt,4,4,0.1
read_usdt,4,2,10.0
ref_usdt,4,5,0.01
ren_usdt,4,2,10.0
req_usdt,4,3,1.0
rfr_usdt,4,1,10.0
rnt_usdt,4,2,10.0
salt_usdt,4,4,0.1
san_usdt,4,3,1.0
show_usdt,4,1,10.0
smt_usdt,4,2,10.0
snc_usdt,4,3,1.0
sngls_usdt,4,2,10.0
snm_usdt,4,2,10.0
snt_usdt,4,2,10.0
soc_usdt,4,2,10.0
spf_usdt,4,3,1.0
ssc_usdt,4,2,10.0
stc_usdt,4,2,10.0
storj_usdt,4,3,1.0
sub_usdt,4,3,1.0
swftc_usdt,4,1,10.0
tct_usdt,4,2,10.0
theta_usdt,4,2,10.0
tio_usdt,4,3,1.0
tnb_usdt,4,2,10.0
topc_usdt,4,2,10.0
tra_usdt,4,1,10.0
trio_usdt,4,1,10.0
true_usdt,4,3,1.0
trx_usdt,4,2,10.0
ubtc_usdt,4,4,0.1
uct_usdt,4,3,1.0
ugc_usdt,4,2,10.0
ukg_usdt,4,3,1.0
utk_usdt,4,3,1.0
vee_usdt,4,2,10.0
vib_usdt,4,3,1.0
viu_usdt,4,1,10.0
wfee_usdt,4,1,10.0
wrc_usdt,4,2,10.0
wtc_usdt,4,4,0.1
xmr_usdt,4,6,0.001
xuc_usdt,4,4,0.1
yee_usdt,4,1,10.0
yoyo_usdt,4,2,10.0
zec_usdt,4,6,0.001
zen_usdt,4,5,0.01
zip_usdt,4,0,10.0
zrx_usdt,4,3,1.0
ltc_bch,8,6,0.001
etc_bch,8,5,0.01
act_bch,8,3,1.0
avt_bch,8,3,1.0
bcd_bch,8,4,0.1
bcx_bch,8,1,10.0
btg_bch,8,5,0.01
cmt_bch,8,2,10.0
dash_bch,8,6,0.001
dgd_bch,8,6,0.001
edo_bch,8,4,0.1
eos_bch,8,4,0.1
sbtc_bch,8,4,0.1
ltc_eth,8,6,0.001
etc_eth,8,5,0.01
bch_eth,8,8,0.001
xrp_eth,8,3,1.0
xem_eth,8,3,1.0
xlm_eth,8,3,1.0
iota_eth,8,3,1.0
1st_eth,8,3,1.0
aac_eth,8,2,10.0
abt_eth,8,3,1.0
ace_eth,8,2,10.0
act_eth,8,3,1.0
aidoc_eth,8,2,10.0
amm_eth,8,3,1.0
ark_eth,8,4,0.1
ast_eth,8,3,1.0
atl_eth,8,3,1.0
auto_eth,8,1,10.0
avt_eth,8,3,1.0
bec_eth,8,3,1.0
bkx_eth,8,3,1.0
bnt_eth,8,4,0.1
brd_eth,8,3,1.0
btm_eth,8,3,1.0
cag_eth,8,3,1.0
can_eth,8,2,10.0
cbt_eth,8,2,10.0
chat_eth,8,2,10.0
cic_eth,8,1,10.0
cmt_eth,8,2,10.0
ctr_eth,8,3,1.0
cvc_eth,8,3,1.0
dadi_eth,8,3,1.0
dash_eth,8,6,0.001
dat_eth,8,2,10.0
dent_eth,8,1,10.0
dgb_eth,8,2,10.0
dgd_eth,8,6,0.001
dna_eth,8,3,1.0
dnt_eth,8,2,10.0
dpy_eth,8,3,1.0
edo_eth,8,4,0.1
elf_eth,8,3,1.0
eng_eth,8,4,0.1
enj_eth,8,2,10.0
eos_eth,8,4,0.1
evx_eth,8,4,0.1
fair_eth,8,2,10.0
fun_eth,8,2,10.0
gas_eth,8,5,0.01
gnt_eth,8,3,1.0
gnx_eth,8,3,1.0
gsc_eth,8,2,10.0
gtc_eth,8,2,10.0
gto_eth,8,3,1.0
hmc_eth,8,2,10.0
hot_eth,8,2,10.0
hsr_eth,8,4,0.1
icn_eth,8,3,1.0
icx_eth,8,4,0.1
ins_eth,8,3,1.0
insur_eth,8,1,10.0
int_eth,8,2,10.0
iost_eth,8,2,10.0
ipc_eth,8,3,1.0
itc_eth,8,3,1.0
kcash_eth,8,2,10.0
key_eth,8,1,10.0
knc_eth,8,3,1.0
la_eth,8,3,1.0
lend_eth,8,2,10.0
lev_eth,8,2,10.0
light_eth,8,0,10.0
link_eth,8,3,1.0
lrc_eth,8,3,1.0
mag_eth,8,1,10.0
mana_eth,8,2,10.0
mco_eth,8,4,0.1
mda_eth,8,3,1.0
mdt_eth,8,2,10.0
mith_eth,8,3,1.0
mkr_eth,8,6,0.001
mof_eth,8,3,1.0
mot_eth,8,3,1.0
mth_eth,8,2,10.0
mtl_eth,8,4,0.1
nano_eth,8,4,0.1
nas_eth,8,4,0.1
neo_eth,8,5,0.01
ngc_eth,8,3,1.0
nuls_eth,8,4,0.1
oax_eth,8,3,1.0
of_eth,8,1,10.0
okb_eth,8,4,1.0
omg_eth,8,4,0.1
ont_eth,8,3,1.0
ost_eth,8,3,1.0
pay_eth,8,3,1.0
poe_eth,8,2,10.0
ppt_eth,8,5,0.01
pra_eth,8,3,1.0
pst_eth,8,3,1.0
qtum_eth,8,5,0.01
qun_eth,8,2,10.0
qvt_eth,8,3,1.0
r_eth,8,3,1.0
rcn_eth,8,2,10.0
rct_eth,8,2,10.0
rdn_eth,8,4,0.1
read_eth,8,2,10.0
ref_eth,8,5,0.01
ren_eth,8,2,10.0
req_eth,8,3,1.0
rfr_eth,8,1,10.0
rnt_eth,8,2,10.0
salt_eth,8,4,0.1
san_eth,8,3,1.0
show_eth,8,1,10.0
smt_eth,8,2,10.0
snc_eth,8,3,1.0
sngls_eth,8,2,10.0
snm_eth,8,2,10.0
snt_eth,8,2,10.0
soc_eth,8,2,10.0
spf_eth,8,3,1.0
ssc_eth,8,2,10.0
stc_eth,8,2,10.0
storj_eth,8,3,1.0
sub_eth,8,3,1.0
swftc_eth,8,1,10.0
tct_eth,8,2,10.0
theta_eth,8,2,10.0
tio_eth,8,3,1.0
tnb_eth,8,2,10.0
topc_eth,8,2,10.0
tra_eth,8,1,10.0
trio_eth,8,1,10.0
true_eth,8,3,1.0
trx_eth,8,2,10.0
ubtc_eth,8,4,0.1
uct_eth,8,3,1.0
ugc_eth,8,2,10.0
ukg_eth,8,3,1.0
utk_eth,8,2,10.0
vee_eth,8,2,10.0
vib_eth,8,3,1.0
viu_eth,8,1,10.0
wfee_eth,8,1,10.0
wrc_eth,8,2,10.0
wtc_eth,8,4,0.1
xmr_eth,8,6,0.001
xuc_eth,8,4,0.1
yee_eth,8,1,10.0
yoyo_eth,8,2,10.0
zec_eth,8,6,0.001
zen_eth,8,5,0.01
zip_eth,8,0,10.0
zrx_eth,8,3,1.0
